airline_name,iata_code,icao_code,callsign,country
Austral Lineas Aereas,AU,AUT,AUSTRAL,Argentina
Australian Airlines,AO,AUZ,AUSTRALIAN,Australia
Avianca - Aerovias Nacionales de Colombia,AV,AVA, S.A.,AVIANCA
Air Vanuatu,NF,AVN,AIR VAN,Vanuatu
Airlink Zambia,K8,ZAK,,Zambia
Air Bangladesh,B9,BGD,AIR BANGLA,Bangladesh
Air Mediterranee,DR,BIE,MEDITERRANEE,France
Aeroline GmbH,7E,AWU,SYLT-AIR,Germany
Air Wales,6G,AWW,RED DRAGON,United Kingdom
Air Caraïbes,TX,FWI,FRENCH WEST,France
Air India Express,IX,AXB,EXPRESS INDIA,India
Asian Express Airlines,HJ,AXF,FREIGHTEXPRESS,Australia
Air Exel,XT,AXL,EXEL COMMUTER,Netherlands
AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia
Axis Airways,6V,AXY,AXIS,France
Atlant-Soyuz Airlines,3G,AYZ,ATLANT-SOYUZ,Russia
Alitalia,AZ,AZA,ALITALIA,Italy
Arcus-Air Logistic,ZE,AZE,ARCUS AIR,Germany
Amaszonas,Z8,AZN,,Bolivia
Air Zimbabwe,UM,AZW,AIR ZIMBABWE,Zimbabwe
Aserca Airlines,R7,OCA,AROSCA,Venezuela
Rossiya-Russian Airlines,FV,SDM,PULKOVO,Russia
Aviaexpress,RX,AEH,Avex,Hungary
American Eagle Airlines,MQ,EGF,EAGLE FLIGHT,United States
Airshop,FF,,,Netherlands
African Transport Trading and Investment Company,ML,,,Sudan
Air Ivoire,VU,VUN,AIRIVOIRE,Ivory Coast
Air Botswana,BP,BOT,BOTSWANA,Botswana
Air Foyle,GS,UPA,FOYLE,United Kingdom
Air Tahiti,VT,VTA,AIR TAHITI,French Polynesia
Air Urga,3N,URG,URGA,Ukraine
Air VIA,VL,VIM,,Bulgaria
Africa West,FK,WTA,WEST TOGO,Togo
Avirex,G2,VXG,AVIREX-GABON,Gabon
ATRAN Cargo Airlines,V8,VAS,ATRAN,Russian Federation
Avensa,VE,AVE,Avensa,Venezuela
Avolar Aerolineas,V5,VLI,AEROVOLAR,Mexico
Air China,CA,CCA,AIR CHINA,China
Aero Condor Peru,Q6,CDP,CONDOR-PERU,Peru
Arctic Circle Air Service,5F,CIR,AIR ARCTIC,United States
Air Corridor,QC,CRD,AIR CORRIDOR,Mozambique
Air Central,NV,CRF,AIR CENTRAL,Japan
Air Chathams,CV,CVA,CHATHAM,New Zealand
Air Marshall Islands,CW,CWM,AIR MARSHALLS,Marshall Islands
Access Air,ZA,CYD,CYCLONE,United States
Air Algerie,AH,DAH,AIR ALGERIE,Algeria
Adam Air,KI,DHI,ADAM SKY,Indonesia
Astar Air Cargo,ER,DHL,DAHL,United States
Antinea Airlines,HO,DJA,ANTINEA,Algeria
Air Dolomiti,EN,DLA,DOLOMOTI,Italy
Aeroflot-Don,D9,DNV,DONAVIA,Russia
Air Madrid,NM,DRD,ALADA AIR,Spain
Aero Airlines,EE,EAY,REVAL,Estonia
Air City,4F,ECE,AIRCITY,Germany
Aer Lingus,EI,EIN,SHAMROCK,Ireland
Alpi Eagles,E8,ELG,ALPI EAGLES,Italy
Air S,KY,EQL,EQUATORIAL,Air S
Air Fiji,PC,FAJ,FIJIAIR,Fiji
Air Finland,OF,FIF,AIR FINLAND,Finland
Air Pacific,FJ,FJI,PACIFIC,Fiji
Atlantic Airways,RC,FLI,FAROELINE,Faroe Islands
Air Florida,QH,FLZ,AIR FLORIDA,United States
Air Iceland,NY,FXI,FAXI,Iceland
Air Philippines,2P,GAP,ORIENT PACIFIC,Philippines
Air Georgian,ZX,GGN,GEORGIAN,Canada
Air Guinee Express,2U,GIP,FUTURE EXPRESS,Guinea
Amber Air,0A,GNT,GINTA,Lithuania
Air Georgia,DA,GRG,AIR GEORGIA,Georgia
Air Greenland,GL,GRL,GREENLAND,Denmark
Allegro,LL,GRO,ALLEGRO,Mexico
Atlas Air,5Y,GTI,GIANT,United States
Air Guyane,GG,GUY,GREEN BIRD,French Guiana
Air D'Ayiti,H9,HAD,HAITI AVIA,Haiti
Air Comores International,GG,HAH,AIR COMORES,Comoros
Air Horizon,8C,HZT,HORIZON TOGO,Togo
Air Bagan,W9,JAB,AIR BAGAN,Myanmar
Atyrau Air Ways,IP,JOL,EDIL,Kazakhstan
Air Canada Jazz,QK,JZA,JAZZ,Canada
Atlasjet,KK,KKK,ATLASJET,Turkey
Air Koryo,JS,KOR,AIR KORYO,Democratic People's Republic of Korea
Air Astana,KC,KZR,ASTANALINE,Kazakhstan
Albanian Airlines,LV,LBC,ALBANIAN,Albania
Alidaunia,D4,LID,ALIDA,Italy
Alliance Air,CD,LLR,ALLIED,India
Aerolane,XL,LNE,LAN ECUADOR,Ecuador
Air Alps Aviation,A6,LPV,ALPAV,Austria
Atlantis European Airways,TD,LUR,,Armenia
Air Luxor GB,L8,LXG,LUXOR GOLF,Guinea-Bissau
Air Luxor,LK,LXR,AIRLUXOR,Portugal
Air Mauritius,MK,MAU,AIRMAURITIUS,Mauritius
Air Madagascar,MD,MDG,AIR MADAGASCAR,Madagascar
Air Moldova,9U,MLD,AIR MOLDOVA,Moldova
Aero Mongolia,M0,MNG,AERO MONGOLIA,Mongolia
Air Plus Comet,A7,MPD,RED COMET,Spain
Aeromexpress,QO,MPX,AEROMEXPRESS,Mexico
Air Mauritanie,MR,MRT,MIKE ROMEO,Mauritania
Aeroland Airways,3S,,,Greece
Astair,8D,,,Russian Federation
Albarka Air,F4,NBK,AL-AIR,Nigeria
Aero Contractors,AJ,NIG,AEROLINE,Nigeria
Air Burundi,8Y,PBU,AIR-BURUNDI,Burundi
Aeropelican Air Services,OT,PEL,PELICAN,Australia
Air Paradise International,AD,PRZ,RADISAIR,Indonesia
Air Class Lineas Aereas,QD,QCL,ACLA,Uruguay
African Safari Airways,QS,QSC,ZEBRA,Kenya
Airbus France,4Y,RBU,AIRBUS FRANCE,France
Air Mobility Command,MC,RCH,REACH,United States
Aer Arann,RE,REA,AER ARANN,Ireland
Air Austral,UU,REU,REUNION,France
Asian Spirit,6K,RIT,ASIAN SPIRIT,Philippines
Air Afrique,RK,RKA,AIRAFRIC,Ivory Coast
Airlinair,A5,RLA,AIRLINAIR,France
Aero Lanka,QL,RLN,AERO LANKA,Sri Lanka
Armenian International Airways,MV,RML,,Armenia
Air Salone,20,RNE,AIR SALONE,Sierra Leone
Armavia,U8,RNV,ARMAVIA,Armenia
Aeromar,BQ,ROM,BRAVO QUEBEC,Dominican Republic
AeroRep,P5,RPB,AEROREPUBLICA,Colombia
Aero-Service,BF,RSR,CONGOSERV,Republic of the Congo
Aerosur,5L,RSU,AEROSUR,Bolivia
Air Santo Domingo,EX,SDO,AERO DOMINGO,Dominican Republic
Aero California,JR,SER,AEROCALIFORNIA,Mexico
Avient Aviation,Z3,SMJ,AVAVIA,Zimbabwe
Air Service,M3,SPJ,AIR SKOPJE,Macedonia
Air Slovakia,GM,SVK,SLOVAKIA,Slovakia
Aircompany Yakutia,R3,SYL,AIR YAKUTIA,Russia
Aeromar,VW,TAO,TRANS-AEROMAR,Mexico
Air Turks and Caicos,JY,TCI,KERRMONT,Turks and Caicos Islands
Arkefly,OR,TFL,ARKEFLY,Netherlands
Airlines PNG,CG,TOK,BALUS,Papua New Guinea
Air Cal,TY,TPC,AIRCAL,France
AirTran Airways,FL,TRS,CITRUS,United States
Air Transat,TS,TSC,TRANSAT,Canada
Avialeasing Aviation Company,EC,TWN,TWINARROW,Uzbekistan
Tyrolean Airways,VO,TYR,TYROLEAN,Austria
Aero-Charter Ukraine,DW,UCR,CHARTER UKRAINE,Ukraine
Air Ukraine,6U,UKR,AIR UKRAINE,Ukraine
Aerolineas Galapagos (Aerogal),2K,GLG,AEROGAL,Ecuador
Alrosa Mirny Air Enterprise,6R,DRU,MIRNY,Russia
Baker Aviation,8Q,BAJ,BAKER AVIATION,United States
British Airways,BA,BAW,SPEEDBIRD,United Kingdom
Biman Bangladesh Airlines,BG,BBC,BANGLADESH,Bangladesh
Bluebird Cargo,BF,BBD,BLUE CARGO,Iceland
BACH Flugbetriebsges,B4,BCF,BACH,Austria
Blue Dart Aviation,BZ,BDA,BLUE DART,India
B&H Airlines,JA,BON,Air Bosna,Bosnia and Herzegovina
Buffalo Airways,J4,BFL,BUFFALO,Canada
Benin Golf Air,A8,BGL,BENIN GOLF,Benin
Belair Airlines,4T,BHP,BELAIR,Switzerland
Bahamasair,UP,BHS,BAHAMAS,Bahamas
Bringer Air Cargo Taxi Aereo,E6,,,Brazil
Balkan Bulgarian Airlines,LZ,,,
BA Connect,TH,,,United Kingdom
British International Helicopters,BS,BIH,BRINTEL,United Kingdom
Bankair,B4,BKA,BANKAIR,United States
Bangkok Airways,PG,BKP,BANGKOK AIR,Thailand
Blue1,KF,BLF,BLUEFIN,Finland
Bearskin Lake Air Service,JV,BLS,BEARSKIN,Canada
Bellview Airlines,B3,BLV,BELLVIEW AIRLINES,Nigeria
bmi,BD,BMA,MIDLAND,United Kingdom
bmibaby,WW,BMI,BABY,United Kingdom
Bemidji Airlines,CH,BMJ,BEMIDJI,United States
Bismillah Airlines,5Z,BML,BISMILLAH,Bangladesh
Bouraq Indonesia Airlines,BO,BOU,BOURAQ,Indonesia
Blue Panorama Airlines,BV,BPA,BLUE PANOROMA,Italy
BRA-Transportes Aereos,7R,BRB,BRA-TRANSPAEREOS,Brazil
Bering Air,8E,BRG,BERING AIR,United States
Belavia Belarusian Airlines,B2,BRU,BELARUS AVIA,Belarus
Bravo Air Congo,K6,BRV,BRAVO,Democratic Republic of the Congo
Braniff International Airways,BN,BNF,Braniff,United States
Big Sky Airlines,GQ,BSY,BIG SKY,United States
BAL Bashkirian Airlines,V9,BTC,BASHKIRIAN,Russia
Metro Batavia,7P,BTV,BATAVIA,Indonesia
Berjaya Air,J8,BVT,BERJAYA,Malaysia
Blue Wings,QW,BWG,BLUE WINGS,Germany
BAX Global,8W,,,
Bayu Indonesia Air,BM,BYE,BAYU,Indonesia
Brit Air,DB,BZH,BRITAIR,France
Boston-Maine Airways,E9,CXS,CLIPPER CONNECTION,United States
Brussels Airlines,SN,DAT,BEE-LINE,Belgium
Binter Canarias,NT,IBB,,Spain
Blue Air,0B,JOR,BLUE TRANSPORT,Romania
British Mediterranean Airways,KJ,LAJ,BEE MED,United Kingdom
Bulgaria Air,FB,LZB,FLYING BULGARIA,Bulgaria
Barents AirLink,8N,NKF,NORDFLIGHT,Sweden
CAL Cargo Air Lines,5C,ICL,CAL,Israel
CHC Airways,AW,SCH,,Netherlands
Calima Aviacion,XG,CLI,CALIMA,Spain
Calm Air,MO,CAV,CALM AIR,Canada
Camai Air,R9,CAM,AIR CAMAI,United States
Cameroon Airlines,UY,UYC,CAM-AIR,Cameroon
CanJet,C6,CJA,CANJET,Canada
Canadian Airlines,CP,CDN,CANADIAN,Canada
Canadian North,5T,MPE,EMPRESS,Canada
Canadian Western Airlines,W2,CWA,CANADIAN WESTERN,Canada
Cape Air,9K,KAP,CAIR,United States
Capital Cargo International Airlines,PT,CCI,CAPPY,United States
Cargo 360,GG,GGC,LONG-HAUL,United States
Cargoitalia,2G,CRG,WHITE PELICAN,Italy
Cargojet Airways,W8,CJT,CARGOJET,Canada
Cargolux,CV,CLX,CARGOLUX,Luxembourg
Caribbean Airlines,BW,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago
Caribbean Star Airlines,8B,GFI,CARIB STAR,Antigua and Barbuda
Carpatair,V3,KRP,CARPATAIR,Romania
Caspian Airlines,RV,CPN,CASPIAN,Iran
Cathay Pacific,CX,CPA,CATHAY,Hong Kong SAR of China
Cayman Airways,KX,CAY,CAYMAN,Cayman Islands
Cebu Pacific,5J,CEB,CEBU AIR,Philippines
Centavia,7N,CNA,,Serbia
Centralwings,C0,CLW,CENTRALWINGS,Poland
Centre-Avia,J7,CVC,AVIACENTRE,Russia
Centurion Air Cargo,WE,CWC,CHALLENGE CARGO,United States
Chalk's Ocean Airways,OP,CHK,CHALKS,United States
Champion Air,MG,CCP,CHAMPION AIR,United States
Changan Airlines,2Z,CGN,CHANGAN,China
Chari Aviation Services,S8,CSU,CHARI SERVICE,Chad
Chautauqua Airlines,RP,CHQ,CHAUTAUQUA,United States
Chicago Express,C8,WDY,WINDY CITY,United States
China Airlines,CI,CAL,DYNASTY,Taiwan
China Cargo Airlines,CK,CKK,CARGO KING,China
China Eastern Airlines,MU,CES,CHINA EASTERN,China
China Northern Airlines,CJ,CBF,CHINA NORTHERN,China
China Northwest Airlines,WH,CNW,CHINA NORTHWEST,China
China Postal Airlines,8Y,CYZ,CHINA POST,China
China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China
China United Airlines,HR,CUA,LIANHANG,China
China Xinhua Airlines,XO,CXH,XINHUA,China
Yunnan Airlines,3Q,CYH,YUNNAN,China
Chitaavia,X7,CHF,CHITA,Russia
Cielos Airlines,A2,CIU,CIELOS,Peru
Cimber Air,QI,CIM,CIMBER,Denmark
Cirrus Airlines,C9,RUS,CIRRUS AIR,Germany
City Airline,CF,SDR,SWEDESTAR,Sweden
City Connexion Airlines,G3,CIX,CONNEXION,Burundi
CityJet,WX,BCY,CITY-IRELAND,Ireland
BA CityFlyer,CJ,CFE,FLYER,United Kingdom
Civil Air Transport,CT,CAT,Mandarin,Taiwan
Club Air,6P,ISG,CLUBAIR,Italy
Coast Air,BX,CST,COAST CENTER,Norway
Coastal Air,DQ,,U.S. Virgin Islands,United States
Colgan Air,9L,CJC,COLGAN,United States
Comair,OH,COM,COMAIR,United States
Comair,MN,CAW,COMMERCIAL,South Africa
CommutAir,C5,UCA,COMMUTAIR,United States
Comores Airlines,KR,CWK,CONTICOM,Comoros
Compania Mexicargo,GJ,MXC,MEXICARGO,Mexico
Compass Airlines,CP,CPZ,Compass Rose,United States
Condor Flugdienst,DE,CFG,CONDOR,Germany
Consorcio Aviaxsa,6A,CHP,AVIACSA,Mexico
Contact Air,C3,KIS,CONTACTAIR,Germany
Continental Airlines,CO,COA,CONTINENTAL,United States
Continental Airways,PC,PVV,CONTAIR,Russia
Continental Express,CO,,JETLINK,United States
Continental Micronesia,CS,CMI,AIR MIKE,United States
Conviasa,V0,VCV,CONVIASA,Venezuela
Copa Airlines,CM,CMP,COPA,Panama
Corsairfly,SS,CRL,CORSAIR,France
Corse-Mediterranee,XK,CCM,CORSICA,France
Cosmic Air,F5,COZ,COSMIC AIR,Nepal
Croatia Airlines,OU,CTN,CROATIA,Croatia
Crossair Europe,QE,ECC,Cigogne,Switzerland
Cubana de Aviación,CU,CUB,CUBANA,Cuba
Cyprus Airways,CY,CYP,CYPRUS,Cyprus
Cyprus Turkish Airlines,YK,,,Turkey
Czech Airlines,OK,CSA,CSA-LINES,Czech Republic
DAS Air Cargo,WD,DSR,DAIRAIR,Uganda
DAT Danish Air Transport,DX,DTR,DANISH,Denmark
DHL International,ES,DHX,DILMUN,Bahrain
DHL de Guatemala,L3,JOS,,Guatemala
Daallo Airlines,D3,DAO,DALO AIRLINES,Djibouti
Dagestan Airlines,N2,DAG,DAGAL,Russia
Dalavia,H8,KHB,DALAVIA,Russia
Darwin Airline,0D,DWT,DARWIN,Switzerland
Dauair,D5,DAU,DAUAIR,Germany
Delta Air Lines,DL,DAL,DELTA,United States
Deutsche Bahn,2A,,,Germany
Deutsche Rettungsflugwacht,1I,AMB,CIVIL AIR AMBULANCE,Germany
Dinar,D7,RDN,AERO DINAR,Argentina
Dirgantara Air Service,AW,DIR,DIRGANTARA,Indonesia
Discovery Airways,DH,DVA,DISCOVERY AIRWAYS,United States
Djibouti Airlines,D8,DJB,DJIBOUTI AIR,Djibouti
Dominicana de Aviaci,DO,DOA,DOMINICANA,Dominican Republic
Domodedovo Airlines,E3,DMO,DOMODEDOVO,Russia
DonbassAero,5D,UDC,DONBASS AERO,Ukraine
Dragonair,KA,HDA, Hong Kong Dragon Airlines,DRAGON
Druk Air,KB,DRK,ROYAL BHUTAN,Bhutan
dba,DI,BAG,SPEEDWAY,Germany
Electronic Data Systems,1C,,,Switzerland
EUjet,VE,EUJ,UNION JET,Ireland
EVA Air,BR,EVA,EVA,Taiwan
Eagle Air,H7,,,Uganda
East African,QU,UGX,CRANE,Uganda
East African Safari Air,S9,HSA,DUMA,Kenya
Eastern Airways,T3,EZE,EASTFLIGHT,United Kingdom
Eastland Air,DK,ELA,,Australia
Eastwind Airlines,W9,SGR,STINGER,United States
Edelweiss Air,WK,EDW,EDELWEISS,Switzerland
Egyptair,MS,MSR,EGYPTAIR,Egypt
El Al Israel Airlines,LY,ELY,ELAL,Israel
El-Buraq Air Transport,UZ,BRQ,BURAQAIR,Libya
Emirates,EK,UAE,EMIRATES,United Arab Emirates
Empire Airlines,EM,CFS,EMPIRE AIR,United States
Empresa Ecuatoriana De Aviacion,EU,EEA,ECUATORIANA,Ecuador
Enkor JSC,G8,ENK,ENKOR,Russia]]
Eos Airlines,E0,ESS,NEW DAWN,United States
Eritrean Airlines,B8,ERT,ERITREAN,Eritrea
Estafeta Carga Aerea,E7,ESF,,Mexico
Estonian Air,OV,ELL,ESTONIAN,Estonia
Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia
Etihad Airways,EY,ETD,ETIHAD,United Arab Emirates
Euro Exec Express,RZ,,,Sweden
Eurocypria Airlines,UI,ECA,EUROCYPRIA,Cyprus
Eurofly Service,GJ,EEU,EUROFLY,Italy
Eurolot,K2,ELO,EUROLOT,Poland
Euromanx Airways,3W,EMX,EUROMANX,Austria
European Air Express,EA,EAL,STAR WING,Germany
European Air Transport,QY,BCS,EUROTRANS,Belgium
European Aviation Air Charter,E7,EAF,EUROCHARTER,United Kingdom
Eurowings,EW,EWG,EUROWINGS,Germany
Evergreen International Airlines,EZ,EIA,EVERGREEN,United States
Excel Airways,JN,XLA,EXPO,United Kingdom
Execair Aviation,MB,EXA,CANADIAN EXECAIRE,Canada
Executive Airlines,OW,EXK,EXECUTIVE EAGLE,United States
Expo Aviation,8D,EXV,EXPOAVIA,Sri Lanka
Express One International,EO,LHN,LONGHORN,United States
ExpressJet,XE,BTA,JET LINK,United States
easyJet,U2,EZY,EASY,United Kingdom
Falcon Aviation,IH,,,Sweden
Far Eastern Air Transport,EF,EFA,Far Eastern,Taiwan
Faroejet,F6,RCK,ROCKROSE,Faroe Islands
Faso Airways,F3,FSW,FASO,Burkina Faso
Federal Express,FX,FDX,FEDEX,United States
Fika Salaama Airlines,N8,HGK,SALAAMA,Uganda
Finalair Congo,4S,FNC,FINALAIR CONGO,Republic of the Congo
Finnair,AY,FIN,FINNAIR,Finland
Finncomm Airlines,FC,WBA,WESTBIRD,Finland
Firefly,FY,FFM,FIREFLY,Malaysia
First Air,7F,FAB,,Canada
First Choice Airways,DP,FCA,JETSET,United Kingdom
Fischer Air,8F,FFR,FISCHER,Czech Republic
Flightline,B5,FLT,FLIGHTLINE,United Kingdom
Florida Coastal Airlines,PA,FCL,FLORIDA COASTAL,United States
Florida West International Airways,RF,FWL,FLO WEST,United States
Fly Air,F2,FLM,FLY WORLD,Turkey
Fly Me Sweden,SH,FLY,FLYBIRD,Sweden
AirAsia X,D7,XAX,XANADU,Malaysia
FlyLal,TE,LIL,LITHUANIA AIR,Lithuania
FlyNordic,LF,NDC,NORDIC,Sweden
Flybaboo,F7,BBO,BABOO,Switzerland
Flybe,BE,BEE,JERSEY,United Kingdom
Flyglobespan,B4,GSM,GLOBESPAN,United Kingdom
Formosa Airlines,VY,FOS,,Taiwan
Forward Air International Airlines,BN,,,United States
Four Star Aviation / Four Star Cargo,HK,FSC,FOUR STAR,United States
Freedom Air,FP,FRE,FREEDOM,United States
Frontier Airlines,F9,FFT,FRONTIER FLIGHT,United States
Frontier Flying Service,2F,FTA,FRONTIER-AIR,United States
Futura International Airways,FH,FUA,FUTURA,Spain
GB Airways,GT,GBL,GEEBEE AIRWAYS,United Kingdom
Galaxy Air,7O,GAL,GALAXY,Kyrgyzstan
Galileo International,1G,,,United States
Gambia International Airlines,GC,GNR,GAMBIA INTERNATIONAL,Gambia
Gandalf Airlines,G7,GNF,Gandalf,Italy
Garuda Indonesia,GA,GIA,INDONESIA,Indonesia
Gazpromavia,4G,GZP,GAZPROMAVIA,Russia
Gemini Air Cargo,GR,GCO,GEMINI,United States
Georgian Airways,A9,TGZ,TAMAZI,Georgia
Georgian National Airlines,QB,GFG,NATIONAL,Georgia
Germania,ST,GMI,GERMANIA,Germany
Germanwings,4U,GWI,GERMAN WINGS,Germany
Gestair,GP,GES,GESTAIR,Spain
Ghana International Airlines,G0,GHB,GHANA AIRLINES,Ghana
Go Air,G8,GOW,GOAIR,India
